date,province,store_id,store_name,category,item_id,item_name,sales
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,1,Rice,17.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,2,Noodles,10.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,3,Bread,6.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,4,Flour,8.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,5,Cooking Oil,8.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Staples,6,Sugar,5.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,7,Milk,5.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,8,Cheese,13.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,9,Yogurt,24.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,10,Ice Cream,5.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,11,Frozen Vegetables,7.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,13,Juice,20.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,14,Water,30.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,16,Tea,13.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,17,Chips,28.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,18,Cookies,42.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,20,Soap,20.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,21,Shampoo,21.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,22,Toothpaste,15.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,23,Laundry Detergent,8.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,24,Paper Towels,13.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,25,Toilet Paper,17.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,26,Trash Bags,9.0
2016-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,27,Dishwashing Liquid,9.0
