date,province,temperature,humidity,season
2016-01-01,Hanoi,13.4,87.8,winter
2016-01-01,Ho Chi Minh City,27.7,69.1,dry
2016-01-02,Hanoi,15.2,75.2,winter
2016-01-02,Ho Chi Minh City,26.6,69.9,dry
2016-01-03,Hanoi,19.2,86.0,winter
2016-01-03,Ho Chi Minh City,25.8,74.8,dry
2016-01-04,Hanoi,12.8,85.4,winter
2016-01-04,Ho Chi Minh City,24.0,66.7,dry
2016-01-05,Hanoi,16.8,88.3,winter
2016-01-05,Ho Chi Minh City,25.2,66.0,dry
2016-01-06,Hanoi,17.2,89.8,winter
2016-01-06,Ho Chi Minh City,25.9,64.0,dry
2016-01-07,Hanoi,18.9,88.9,winter
2016-01-07,Ho Chi Minh City,25.1,70.3,dry
2016-01-08,Hanoi,13.6,70.3,winter
2016-01-08,Ho Chi Minh City,25.3,77.9,dry
2016-01-09,Hanoi,16.1,87.5,winter
2016-01-09,Ho Chi Minh City,24.3,66.5,dry
2016-01-10,Hanoi,15.8,85.2,winter
2016-01-10,Ho Chi Minh City,27.7,68.3,dry
2016-01-11,Hanoi,19.0,80.0,winter
2016-01-11,Ho Chi Minh City,27.2,76.3,dry
2016-01-12,Hanoi,15.9,87.0,winter
2016-01-12,Ho Chi Minh City,25.1,67.4,dry
2016-01-13,Hanoi,13.2,80.5,winter
2016-01-13,Ho Chi Minh City,26.6,76.4,dry
2016-01-14,Hanoi,13.2,76.2,winter
2016-01-14,Ho Chi Minh City,24.3,77.0,dry
2016-01-15,Hanoi,19.2,73.8,winter
2016-01-15,Ho Chi Minh City,27.8,69.1,dry
2016-01-16,Hanoi,14.3,83.4,winter
2016-01-16,Ho Chi Minh City,25.5,77.8,dry
2016-01-17,Hanoi,17.2,89.8,winter
2016-01-17,Ho Chi Minh City,27.9,64.9,dry
2016-01-18,Hanoi,15.6,83.5,winter
2016-01-18,Ho Chi Minh City,26.6,68.1,dry
2016-01-19,Hanoi,17.2,84.4,winter
2016-01-19,Ho Chi Minh City,27.1,67.1,dry
2016-01-20,Hanoi,13.2,86.7,winter
2016-01-20,Ho Chi Minh City,24.1,65.8,dry
2016-01-21,Hanoi,18.5,71.0,winter
2016-01-21,Ho Chi Minh City,24.8,69.6,dry
2016-01-22,Hanoi,14.1,77.2,winter
2016-01-22,Ho Chi Minh City,24.6,64.2,dry
2016-01-23,Hanoi,13.2,73.0,winter
2016-01-23,Ho Chi Minh City,24.6,62.5,dry
2016-01-24,Hanoi,17.6,83.5,winter
2016-01-24,Ho Chi Minh City,25.8,64.0,dry
2016-01-25,Hanoi,13.7,82.2,winter
2016-01-25,Ho Chi Minh City,25.1,73.4,dry
2016-01-26,Hanoi,15.1,75.6,winter
2016-01-26,Ho Chi Minh City,27.5,64.7,dry
2016-01-27,Hanoi,13.2,89.5,winter
2016-01-27,Ho Chi Minh City,27.8,64.0,dry
2016-01-28,Hanoi,13.4,76.8,winter
2016-01-28,Ho Chi Minh City,26.0,75.6,dry
2016-01-29,Hanoi,16.5,74.3,winter
2016-01-29,Ho Chi Minh City,26.5,68.2,dry
2016-01-30,Hanoi,15.2,73.8,winter
2016-01-30,Ho Chi Minh City,27.8,64.0,dry
2016-01-31,Hanoi,13.1,82.0,winter
2016-01-31,Ho Chi Minh City,26.4,64.0,dry
2016-02-01,Hanoi,17.8,79.5,winter
2016-02-01,Ho Chi Minh City,26.4,67.5,dry
2016-02-02,Hanoi,14.4,92.0,winter
2016-02-02,Ho Chi Minh City,26.4,69.8,dry
2016-02-03,Hanoi,13.9,82.8,winter
